,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2763,2024,SE,FT,Data Scientist,191500,USD,191500,US,on site,US,M
2764,2024,SE,FT,Data Scientist,111500,USD,111500,US,on site,US,M
2765,2024,SE,FT,Data Scientist,204800,USD,204800,US,on site,US,M
2766,2024,SE,FT,Data Scientist,115800,USD,115800,US,on site,US,M
2767,2024,SE,FT,Data Science Consultant,116000,USD,116000,US,on site,US,M
2768,2024,SE,FT,Data Science Consultant,90000,USD,90000,US,on site,US,M
2769,2024,SE,FT,Data Scientist,206000,USD,206000,US,remote,US,M
2770,2024,SE,FT,Data Scientist,140250,USD,140250,US,remote,US,M
2771,2024,SE,FT,Applied Scientist,225000,USD,225000,US,on site,US,M
2772,2024,MI,FT,Data Scientist,190000,USD,190000,US,remote,US,M
2774,2024,EN,FT,Data Analyst,84105,USD,84105,US,on site,US,M
2775,2024,EN,FT,Data Analyst,76095,USD,76095,US,on site,US,M
2780,2024,SE,FT,Machine Learning Researcher,250800,USD,250800,US,on site,US,M
2781,2024,SE,FT,Machine Learning Researcher,167200,USD,167200,US,on site,US,M
2782,2024,MI,FT,Data Engineer,165000,USD,165000,US,remote,US,M
2783,2024,MI,FT,Data Engineer,140250,USD,140250,US,remote,US,M
2786,2024,MI,FT,Research Scientist,300000,USD,300000,US,on site,US,M
2787,2024,MI,FT,Research Scientist,200000,USD,200000,US,on site,US,M
2789,2024,SE,FT,Data Scientist,104603,USD,104603,US,on site,US,M
2790,2024,SE,FT,Data Scientist,279000,USD,279000,US,remote,US,M
2791,2024,SE,FT,Data Scientist,183000,USD,183000,US,remote,US,M
2796,2024,EN,FT,Data Analyst,73756,USD,73756,US,on site,US,M
2797,2024,EN,FT,Data Analyst,61463,USD,61463,US,on site,US,M
2800,2024,MI,FT,Data Engineer,167500,USD,167500,US,on site,US,M
2804,2024,MI,FT,AI Architect,800000,USD,800000,CA,remote,CA,M
2805,2023,EN,FT,Data DevOps Engineer,44382,EUR,47918,NL,hybrid,NL,L
2806,2024,EN,FT,Data Analyst,40100,EUR,44555,LT,on site,LT,M
2807,2024,EN,FT,Data Analyst,28069,EUR,31187,LT,on site,LT,M
2810,2024,MI,FT,Data Scientist,127660,USD,127660,US,on site,US,M
2811,2024,MI,FT,Data Scientist,68740,USD,68740,US,on site,US,M
2812,2024,SE,FT,ML Engineer,137930,USD,137930,CA,on site,CA,M
2813,2024,SE,FT,ML Engineer,74270,USD,74270,CA,on site,CA,M
2816,2024,SE,FT,Data Engineer,266875,USD,266875,US,on site,US,M
2817,2024,SE,FT,Data Engineer,128250,USD,128250,US,on site,US,M
2822,2024,MI,FT,Machine Learning Scientist,200000,USD,200000,US,on site,US,M
2823,2024,MI,FT,Machine Learning Scientist,140000,USD,140000,US,on site,US,M
2824,2024,EN,FT,Data Analyst,80080,USD,80080,US,on site,US,M
2828,2024,SE,FT,Data Scientist,165000,USD,165000,US,on site,US,M
2829,2024,SE,FT,Data Scientist,115500,USD,115500,US,on site,US,M
2830,2024,SE,FT,AI Software Engineer,242000,USD,242000,EG,on site,EG,M
2831,2024,SE,FT,AI Software Engineer,106200,USD,106200,EG,on site,EG,M
2835,2024,SE,FT,Data Engineer,145000,USD,145000,US,remote,US,M
2840,2024,EN,FT,Data Analyst,85500,USD,85500,US,remote,US,M
2841,2024,EN,FT,Data Analyst,51000,USD,51000,US,remote,US,M
2842,2024,SE,FT,Data Science,185490,USD,185490,US,on site,US,M
2843,2024,SE,FT,Data Science,134530,USD,134530,US,on site,US,M
2846,2024,SE,FT,Data Engineer,205000,USD,205000,US,on site,US,M
2850,2024,MI,FT,ML Engineer,200000,USD,200000,US,on site,US,M
2851,2024,MI,FT,ML Engineer,140000,USD,140000,US,on site,US,M
2854,2024,EX,FT,Data Architect,210000,USD,210000,US,remote,US,M
2855,2024,EX,FT,Data Architect,180000,USD,180000,US,remote,US,M
2856,2024,MI,FT,Data Engineer,70000,EUR,77777,AT,on site,AT,M
2857,2024,MI,FT,Data Engineer,53000,EUR,58888,AT,on site,AT,M
2858,2024,MI,FT,Data Engineer,200000,USD,200000,US,remote,US,M
2860,2024,SE,FT,Data Analyst,193000,USD,193000,US,remote,US,M
2861,2024,SE,FT,Data Analyst,156000,USD,156000,US,remote,US,M
2862,2024,EN,FT,Business Intelligence Analyst,92000,USD,92000,AU,on site,AU,M
2863,2024,EN,FT,Business Intelligence Analyst,90000,USD,90000,AU,on site,AU,M
2864,2024,MI,FT,Analytics Engineer,197000,USD,197000,US,on site,US,M
2865,2024,MI,FT,Analytics Engineer,115000,USD,115000,US,on site,US,M
2866,2024,SE,FT,Data Analyst,86026,EUR,95584,DE,remote,DE,M
2867,2024,SE,FT,Data Analyst,71688,EUR,79653,DE,remote,DE,M
2868,2024,SE,FT,Data Analyst,86146,EUR,95717,NL,remote,NL,M
2869,2024,SE,FT,Data Analyst,71789,EUR,79765,NL,remote,NL,M
2878,2024,SE,FT,Data Operations Specialist,55720,USD,55720,US,remote,US,M
2879,2024,SE,FT,Data Operations Specialist,50700,USD,50700,US,remote,US,M
2881,2024,SE,FT,Data Analyst,136000,USD,136000,US,on site,US,M
2886,2024,EN,FT,Research Analyst,300000,USD,300000,US,on site,US,M
2887,2024,EN,FT,Research Analyst,150000,USD,150000,US,on site,US,M
2892,2024,SE,FT,ML Engineer,234000,USD,234000,US,remote,US,M
2893,2024,SE,FT,ML Engineer,208000,USD,208000,US,remote,US,M
2894,2024,SE,FT,Data Engineer,206000,USD,206000,US,remote,US,M
2895,2024,SE,FT,Data Engineer,175100,USD,175100,US,remote,US,M
2898,2024,SE,FT,Data Engineer,150895,USD,150895,US,on site,US,M
2899,2024,SE,FT,Data Engineer,120715,USD,120715,US,on site,US,M
2900,2024,EN,FT,Research Analyst,300000,USD,300000,US,remote,US,M
2901,2024,EN,FT,Research Analyst,150000,USD,150000,US,remote,US,M
2904,2024,EN,FT,Business Intelligence Analyst,86000,USD,86000,US,on site,US,M
2905,2024,EN,FT,Business Intelligence Analyst,53000,USD,53000,US,on site,US,M
2906,2024,SE,FT,Data Scientist,187158,USD,187158,US,on site,US,M
2907,2024,SE,FT,Data Scientist,116974,USD,116974,US,on site,US,M
2908,2024,SE,FT,Analytics Engineer,225000,USD,225000,US,on site,US,M
2912,2024,SE,FT,ML Engineer,195700,USD,195700,US,on site,US,M
2913,2024,SE,FT,ML Engineer,97700,USD,97700,US,on site,US,M
2914,2024,SE,FT,BI Analyst,100000,USD,100000,US,on site,US,M
2915,2024,SE,FT,BI Analyst,85000,USD,85000,US,on site,US,M
2916,2024,MI,FT,Data Analyst,119000,USD,119000,US,on site,US,M
2917,2024,MI,FT,Data Analyst,52100,USD,52100,US,on site,US,M
2918,2024,SE,FT,Business Intelligence Developer,136000,USD,136000,US,on site,US,M
2919,2024,SE,FT,Business Intelligence Developer,91536,USD,91536,US,on site,US,M
2920,2024,SE,FT,Data Engineer,199700,USD,199700,US,on site,US,M
2921,2024,SE,FT,Data Engineer,165100,USD,165100,US,on site,US,M
2924,2024,SE,FT,Data Scientist,240000,USD,240000,US,remote,US,M
2932,2024,EN,FT,Data Analyst,170000,USD,170000,US,remote,US,M
2936,2024,SE,FT,Data Scientist,247300,USD,247300,US,on site,US,M
